1999년 1월 1일 	 JD=2451147
1999년 1월 2일 	 JD=2451148
1999년 1월 3일 	 JD=2451149
1999년 1월 4일 	 JD=2451150
1999년 1월 5일 	 JD=2451151
1999년 1월 6일 	 JD=2451152
1999년 1월 7일 	 JD=2451153
1999년 1월 8일 	 JD=2451154
1999년 1월 9일 	 JD=2451155
1999년 1월 10일 	 JD=2451156
1999년 1월 11일 	 JD=2451157
1999년 1월 12일 	 JD=2451158
1999년 1월 13일 	 JD=2451159
1999년 1월 14일 	 JD=2451160
1999년 1월 15일 	 JD=2451161
1999년 1월 16일 	 JD=2451162
1999년 1월 17일 	 JD=2451163
1999년 1월 18일 	 JD=2451164
1999년 1월 19일 	 JD=2451165
1999년 1월 20일 	 JD=2451166
1999년 1월 21일 	 JD=2451167
1999년 1월 22일 	 JD=2451168
1999년 1월 23일 	 JD=2451169
1999년 1월 24일 	 JD=2451170
1999년 1월 25일 	 JD=2451171
1999년 1월 26일 	 JD=2451172
1999년 1월 27일 	 JD=2451173
1999년 1월 28일 	 JD=2451174
1999년 1월 29일 	 JD=2451175
1999년 1월 30일 	 JD=2451176
1999년 1월 31일 	 JD=2451177
1999년 2월 1일 	 JD=2451177
1999년 2월 2일 	 JD=2451178
1999년 2월 3일 	 JD=2451179
1999년 2월 4일 	 JD=2451180
1999년 2월 5일 	 JD=2451181
1999년 2월 6일 	 JD=2451182
1999년 2월 7일 	 JD=2451183
1999년 2월 8일 	 JD=2451184
1999년 2월 9일 	 JD=2451185
1999년 2월 10일 	 JD=2451186
1999년 2월 11일 	 JD=2451187
1999년 2월 12일 	 JD=2451188
1999년 2월 13일 	 JD=2451189
1999년 2월 14일 	 JD=2451190
1999년 2월 15일 	 JD=2451191
1999년 2월 16일 	 JD=2451192
1999년 2월 17일 	 JD=2451193
1999년 2월 18일 	 JD=2451194
1999년 2월 19일 	 JD=2451195
1999년 2월 20일 	 JD=2451196
1999년 2월 21일 	 JD=2451197
1999년 2월 22일 	 JD=2451198
1999년 2월 23일 	 JD=2451199
1999년 2월 24일 	 JD=2451200
1999년 2월 25일 	 JD=2451201
1999년 2월 26일 	 JD=2451202
1999년 2월 27일 	 JD=2451203
1999년 2월 28일 	 JD=2451204
1999년 3월 1일 	 JD=2451207
1999년 3월 2일 	 JD=2451208
1999년 3월 3일 	 JD=2451209
1999년 3월 4일 	 JD=2451210
1999년 3월 5일 	 JD=2451211
1999년 3월 6일 	 JD=2451212
1999년 3월 7일 	 JD=2451213
1999년 3월 8일 	 JD=2451214
1999년 3월 9일 	 JD=2451215
1999년 3월 10일 	 JD=2451216
1999년 3월 11일 	 JD=2451217
1999년 3월 12일 	 JD=2451218
1999년 3월 13일 	 JD=2451219
1999년 3월 14일 	 JD=2451220
1999년 3월 15일 	 JD=2451221
1999년 3월 16일 	 JD=2451222
1999년 3월 17일 	 JD=2451223
1999년 3월 18일 	 JD=2451224
1999년 3월 19일 	 JD=2451225
1999년 3월 20일 	 JD=2451226
1999년 3월 21일 	 JD=2451227
1999년 3월 22일 	 JD=2451228
1999년 3월 23일 	 JD=2451229
1999년 3월 24일 	 JD=2451230
1999년 3월 25일 	 JD=2451231
1999년 3월 26일 	 JD=2451232
1999년 3월 27일 	 JD=2451233
1999년 3월 28일 	 JD=2451234
1999년 3월 29일 	 JD=2451235
1999년 3월 30일 	 JD=2451236
1999년 3월 31일 	 JD=2451237
1999년 4월 1일 	 JD=2451238
1999년 4월 2일 	 JD=2451239
1999년 4월 3일 	 JD=2451240
1999년 4월 4일 	 JD=2451241
1999년 4월 5일 	 JD=2451242
1999년 4월 6일 	 JD=2451243
1999년 4월 7일 	 JD=2451244
1999년 4월 8일 	 JD=2451245
1999년 4월 9일 	 JD=2451246
1999년 4월 10일 	 JD=2451247
1999년 4월 11일 	 JD=2451248
1999년 4월 12일 	 JD=2451249
1999년 4월 13일 	 JD=2451250
1999년 4월 14일 	 JD=2451251
1999년 4월 15일 	 JD=2451252
1999년 4월 16일 	 JD=2451253
1999년 4월 17일 	 JD=2451254
1999년 4월 18일 	 JD=2451255
1999년 4월 19일 	 JD=2451256
1999년 4월 20일 	 JD=2451257
1999년 4월 21일 	 JD=2451258
1999년 4월 22일 	 JD=2451259
1999년 4월 23일 	 JD=2451260
1999년 4월 24일 	 JD=2451261
1999년 4월 25일 	 JD=2451262
1999년 4월 26일 	 JD=2451263
1999년 4월 27일 	 JD=2451264
1999년 4월 28일 	 JD=2451265
1999년 4월 29일 	 JD=2451266
1999년 4월 30일 	 JD=2451267
1999년 5월 1일 	 JD=2451268
1999년 5월 2일 	 JD=2451269
1999년 5월 3일 	 JD=2451270
1999년 5월 4일 	 JD=2451271
1999년 5월 5일 	 JD=2451272
1999년 5월 6일 	 JD=2451273
1999년 5월 7일 	 JD=2451274
1999년 5월 8일 	 JD=2451275
1999년 5월 9일 	 JD=2451276
1999년 5월 10일 	 JD=2451277
1999년 5월 11일 	 JD=2451278
1999년 5월 12일 	 JD=2451279
1999년 5월 13일 	 JD=2451280
1999년 5월 14일 	 JD=2451281
1999년 5월 15일 	 JD=2451282
1999년 5월 16일 	 JD=2451283
1999년 5월 17일 	 JD=2451284
1999년 5월 18일 	 JD=2451285
1999년 5월 19일 	 JD=2451286
1999년 5월 20일 	 JD=2451287
1999년 5월 21일 	 JD=2451288
1999년 5월 22일 	 JD=2451289
1999년 5월 23일 	 JD=2451290
1999년 5월 24일 	 JD=2451291
1999년 5월 25일 	 JD=2451292
1999년 5월 26일 	 JD=2451293
1999년 5월 27일 	 JD=2451294
1999년 5월 28일 	 JD=2451295
1999년 5월 29일 	 JD=2451296
1999년 5월 30일 	 JD=2451297
1999년 5월 31일 	 JD=2451298
1999년 6월 1일 	 JD=2451299
1999년 6월 2일 	 JD=2451300
1999년 6월 3일 	 JD=2451301
1999년 6월 4일 	 JD=2451302
1999년 6월 5일 	 JD=2451303
1999년 6월 6일 	 JD=2451304
1999년 6월 7일 	 JD=2451305
1999년 6월 8일 	 JD=2451306
1999년 6월 9일 	 JD=2451307
